,Wine,Description,Vintage,Price,Score,Model Rating
0,Duckhorn Merlot Napa Valley Three Palms Vineyard-,"A powerful red, with concentrated flavors of red plum, cherry and boysenberry that are layered with plenty of rich spice and mineral accents. Touches of slate and cardamom make for a complex finish. Drink now through 2023. 3,170 cases made. —KM",2014,$98 ,95.0,3
1,K Syrah Walla Walla Valley Powerline Estate-,"A knockout Syrah, precise and impeccably built but explosive with personality. Smoky roasted meat and floral blackberry aromas combine with bold, supple flavors of dark plum, pepper and licorice. The tannins are big but polished. Drink now through 2024. 1,319 cases made. —TF",2014,$45 ,95.0,3
2,Château Coutet Barsac-,"This shows the vivid, racy side of Barsac, with streaming flavors of pineapple, yellow apple, green plum and white ginger, displaying lovely energy from start to finish. Ends with enough honeysuckle and orange blossom notes to balance the richness. Best from 2020 through 2035. 4,000 cases made. —JM",2014,$37 ,96.0,3
3,Casanova di Neri Brunello di Montalcino-,"Effusive aromas and flavors of raspberry, cherry, floral, mineral and tobacco are at the center of this linear, vibrant red. Well-structured, this offers terrific length on the sinewy finish. Best from 2020 through 2035. 6,054 cases made. —BS",2012,$65 ,95.0,3
4,Château de St.-Cosme Gigondas-,"A textbook version of the brawny side of Gigondas, this offers a grippy alder bass line underneath layers of dark currant and fig fruit, while lots of tobacco, rosemary and bay leaf fill in throughout. Muscular and energetic, this is built for the cellar. Best from 2019 through 2030. 4,000 cases made. —JM",2015,$43 ,95.0,3
5,Domaine Huët Vouvray Demi-Sec Le Mont-,"This tilts toward the flattering side of off-dry, showing a plump feel to the core of creamed pear, white peach and yellow apple fruit. Lovely verbena, honeysuckle and mineral accents keep this balanced and driven, with a long finish that lets the fruit echo. Drink now through 2032. 2,000 cases made. —JM",2016,$44 ,95.0,3
6,Château Canon-La Gaffelière St.-Emilion-,"This cuts a wide swath, with mouthwatering tobacco and warm ganache notes leading the way, followed by a wave of fig, blackberry and black currant preserves. Shows remarkable definition already, even though the structure is strident. Tempting now, but just put this in the back of the cellar. Best from 2020 through 2035. 4,083 cases made. —JM",2014,$61 ,95.0,3
7,Meyer Cabernet Sauvignon Napa Valley-,"Strikingly complex and detailed, with supple, harmonious blackberry, currant, anise, licorice and crushed rock flavors. Gains depth while holding focus and persistence. Drink now through 2032. 1,200 cases made. —JL",2014,$70 ,95.0,3
8,Pahlmeyer Chardonnay Napa Valley-,"This offers a gorgeous mouthful of rich, buttery Chardonnay, loaded with exotic tropical fruit, pear, melon and pineapple flavors. Impressive for its opulence and silkiness, a nice combination. Drink now through 2022. 2,500 cases made. —JL",2015,$75 ,95.0,3
9,Booker Oublié Paso Robles-,"Expressive and impressively structured, with savory blackberry aromas and accents of rosemary, thyme and crushed stone, opening to complex, densely layered flavors of currant, pepper and espresso. Grenache, Mourvèdre and Counoise. Best from 2018 through 2028. 1,500 cases made. —TF",2014,$80 ,95.0,3
10,Altesino Brunello di Montalcino Our 40th Harvest-,"Cherry, leather and iron notes mark this suave, elegant red. A bit reticent now, but the fruit is fresh and long on the finish. The dense tannins leave a mouthcoating impression, but this opens up beautifully over a few hours. Best from 2021 through 2035. 10,000 cases made. —BS",2012,$65 ,96.0,3
11,Bedrock Zinfandel California Old Vine-,"Rich and supple, this is an explosion of pure, decadent fruit. Floral huckleberry and Chinese five-spice powder aromas open to layered blackberry, dark chocolate and licorice flavors that linger. Drink now through 2026. 4,500 cases made. —TF",2015,$25 ,93.0,3
12,Sixto Chardonnay Washington Uncovered-,"Dynamic, yet sleek and refined, driven by a core of minerally acidity that meshes with the delicately complex apple, Meyer lemon and spicy yeast accents that linger long on the finish. Drink now through 2021. 1,835 cases made. —TF",2014,$35 ,94.0,3
