Rank,Wine,Vintage,Score,Price,
1,Château Léoville Barton St.-Julien-,2016,97,$98 ,
,"This is so vivid as it brims with pastis-soaked plum, blackberry, black currant and blueberry paste flavors, all carried by a perfectly integrated brambly spine. Tar and ganache notes give the finish an extra kick while everything stays within the mouthwatering roasted apple wood frame. Both regal and rambunctious, this is St.-Julien to a T. Best from 2025 through 2040. 11,667 cases made. —JM",,,,
2,Mayacamas Cabernet Sauvignon Mount Veeder-,2015,96,$125 ,
,"Youthfully compact, with tightly wound black currant, bitter plum and dark blueberry notes, this needs time to meld with the charcoal, bay leaf and tar streaks, but the mouthwatering cut on the finish suggests that won't be a problem. Offers a long echo of juniper at the end. Best from 2023 through 2040. 2,250 cases made. —JM",,,,
3,San Giusto a Rentennano Chianti Classico-,2016,95,$36 ,
,"This red offers a pure core of black currant, blackberry and violet flavors shaded by earth and mint notes. The tannins are uplifting and refined. This has terrific energy and balance, with a long, expansive aftertaste of fruit, earth and mineral. Should have a long life ahead. Sangiovese and Canaiolo. Best from 2021 through 2043. 7,500 cases made, 750 cases imported. —BS",,,,
4,Groth Cabernet Sauvignon Oakville Reserve-,2016,96,$150 ,
,"This delivers a very tightly focused, almost piercing beam of cassis, raspberry coulis and bitter cherry fruit, scored with singed alder and iron notes. Incense and tobacco details chime in on the finish. Long and refined, with the fruit leaving a sweet and mouthwatering echo. Best from 2022 through 2038. 4,800 cases made. —JM",,,,
5,Roederer Estate Brut Anderson Valley L'Ermitage-,2012,95,$48 ,
,"Extravagant, yet balanced and refined, with lush, crisp brioche, fresh ginger and spice, roasted hazelnut and Asian pear flavors that fan out on the lengthy finish. Drink now through 2020. 4,217 cases made. —TF",,,,
6,Château de Beaucastel Châteauneuf-du-Pape-,2016,97,$107 ,
,"Youthfully reticent, but warm and polished in feel, with a large core of cassis, raspberry and cherry puree notes lying in wait for now. Threads of red licorice, warm stone and singed mesquite and cedar emerge steadily through the lengthy finish as the fruit unwinds slowly. Concentrated yet precise. Sock this away in the cellar. Grenache, Cinsault, Syrah, Mourvèdre and Counoise. Best from 2023 through 2040. 6,250 cases made, 3,500 cases imported. —JM",,,,
7,Ramey Chardonnay Napa Valley Carneros Hyde Vineyard-,2016,95,$65 ,
,"Precise and powerfully structured, with intense Asian pear, apple and ripe citrus flavors that feature rich, savory notes. Displays concentrated minerality on the spicy and textured finish. Should blossom in the cellar. Best from 2021 through 2025. 1,256 cases made. —KM",,,,
8,Château Pichon Baron Pauillac-,2016,96,$176 ,
,"This gushes with dark fig and black currant compote flavors backed by lively sweet tobacco and singed alder edges. Very fleshy in feel, though there's ample grip to keep this red grounded, echoing with tar and humus accents through the finish. A thumper. Best from 2025 through 2040. 13,500 cases made. —JM",,,,
9,Penfolds Shiraz Barossa Valley RWT Bin 798-,2017,96,$150 ,
,"Offers a lush, juicy mix of blackberry, blueberry and black cherry flavors that appears seamless, integrating with notes of amaretto, clove and lavender. Plush, juicy and very generous on the long, expressive finish. Drink now through 2034. 1,156 cases imported. —MW",,,,
10,Viña Almaviva Puente Alto-,2016,95,$130 ,
,"Elegant, powerful and well-structured, with a refined mix of dark fruit, dried red fruit and spice flavors. Dried herbal notes emerge midpalate, with a minerally finish that is long and rich-tasting. Cabernet Sauvignon, Carmenère, Cabernet Franc and Petit Verdot. Drink now through 2025. 15,000 cases made, 3,000 cases imported. —KM",,,,
11,Moccagatta Barbaresco Bric Balin-,2015,97,$62 ,
,"Offers an intense display of cherry, kirsch, rose, sandalwood and spice aromas and flavors. The kaleidoscope of flavors is matched to a firm, racy structure. It all comes together on the never-ending, mineral-tinged aftertaste. Best from 2023 through 2043. 1,100 cases made, 500 cases imported. —BS",,,,
12,Carlisle Zinfandel Russian River Valley Papera Ranch-,2016,96,$47 ,
,"A stunning wine, jammed with fruit and personality yet retains a sense of refinement. Aromas of blackberry and violet open to complex cherry and licorice notes and a hint of garrigue. Tannins are broad but polished. Drink now through 2027. 1,005 cases made. —TF",,,,
13,Bodegas Artevino Rioja Orben-,2016,95,$32 ,
,"This big red has a muscular structure, but the flavors are finely detailed, with black cherry, leafy, licorice and smoke notes mingling over sturdy tannins. Harmonious, showing depth and elegance. Best from 2020 through 2030. 2,486 cases made, 500 cases imported. —TM",,,,
14,Tensley Syrah Santa Barbara County Colson Canyon Vineyard-,2017,95,$42 ,
,"Deeply structured yet rich and polished, with smoked meat, huckleberry and garrigue notes that jaunt toward big but refined tannins on the finish. Drink now through 2028. 1,950 cases made. —TF",,,,
15,Domaine Huet Vouvray Demi-Sec Le Mont-,2018,95,$45 ,
,"This elegant white shows pedigree, featuring wonderful harmony and great complexity, with persimmon and quince flavors, while cardamom, coriander and star anise notes glide along the edges. The acidity gives this power, providing balance, but also incredible energy that runs throughout. Very long and inviting. Best from 2020 through 2038. 1,000 cases made. —AZ",,,,
16,Château Branaire-Ducru St.-Julien-,2016,96,$65 ,
,"The core of this red is loaded with pure plum, blueberry and black currant fruit flavors. The polished structure is integrated, with alluring ganache, anise and sweet tobacco notes throughout, all in a polished and balanced frame. A very classy red that isn't shy about its power but pushes its purity to the fore. Best from 2024 through 2039. 15,000 cases made. —JM",,,,
17,Castellare di Castellina Chianti Classico-,2017,94,$22 ,
,"A beam of pure cherry and blackberry fruit defines this intense, racy red, which is firm and tensile, with fine balance and a lingering aftertaste of vibrant fruit, graphite and tobacco flavors. Sangioveto and Canaiolo. Drink now through 2033. 10,000 cases made, 5,000 cases imported. —BS",,,,
18,Denner Dirt Worshipper Central Coast-,2016,96,$75 ,
,"Offers an impressive combination of bold, concentrated fruit with a polished, refined structure, delivering black plum, licorice and smoky pepper flavors, accented by crushed stone and fresh earth details. The tannins are broad but harmonious. Syrah, Roussanne and Viognier. Drink now through 2027. 1,123 cases made. —TF",,,,
19,Tenuta Bibbiano Chianti Classico Riserva-,2015,96,$30 ,
,"A deep well of cherry, plum, floral, wild thyme and iron aromas and flavors highlight this complex, vibrant red, which is beautifully balanced and taut, with firm, well-integrated tannins and lively acidity that will allow this to age gracefully. Best from 2021 through 2045. 2,500 cases made, 750 cases imported. —BS",,,,
20,Sans Liege The Offering Santa Barbara County-,2016,94,$29 ,
,"Distinctive, refined and well-built, offering expressive black cherry, cigar box, green olive and cured meat accents that build richness on the long finish. Grenache, Syrah, Mourvèdre and Viognier. Drink now through 2026. 2,450 cases made. —TF",,,,
21,E. Guigal Côte-Rôtie Brune et Blonde-,2015,96,$75 ,
,"Dark and winey, this is youthfully tight, with a core of intense black cherry and black currant preserves, encased within layers of olive, singed alder, juniper and iron. Very focused and driven through the finish. Cellar for maximum effect. Best from 2022 through 2038. Tasted twice, with consistent notes. 23,333 cases made, 700 cases imported. —JM",,,,
22,Saxum James Berry Vineyard Paso Robles Willow Creek District-,2016,97,$98 ,
,"Plush, polished and dynamic, with complexly layered blackberry, violet, garrigue, crushed stone and smoky pepper flavors that build richness and spirit toward refined tannins. Grenache, Syrah, Counoise and Mataro. Drink now through 2028. 1,000 cases made. —TF",,,,
23,Domaine de Chevalier Pessac-Léognan-,2016,96,$84 ,
,"The core of fruit flavor here is sappy and dense, with lots of kirsch, raspberry pâte de fruit and plum reduction notes, yet this stays fresh and racy overall, with a bright iron spine, flashes of tea and tobacco and a long finish that shows a wonderful infusion of alder and tobacco flavors. Offers a lovely combination of prodigious fruit details, with a tug of earth. Best from 2024 through 2038. 12,000 cases made. —JM",,,,
24,Bodegas Mas Alta Priorat La Vilella Alta Black Slate-,2016,93,$23 ,
,"This generous red features a round, soft texture that carries ripe black fruit flavors, laced with licorice, toast and loamy earth notes. Offers well-integrated tannins and gentle acidity. Pretty floral and cinnamon details emerge on the finish. Drink now through 2028. 1,800 cases imported. —TM",,,,
25,John Duval Plexus Red Barossa Valley-,2017,94,$40 ,
,"Vibrant, with blackberry, blueberry and spiced plum flavors that are fresh, plump and generous at the core. Impressively elegant and seamless, featuring fresh earth, spice and floral notes that linger effortlessly alongside fine-grained tannins. Shiraz, Grenache and Mourvèdre. Drink now through 2037. 2,000 cases imported. —MW",,,,
26,Tolaini Cabernet Sauvignon Toscana Legit-,2013,94,$45 ,
,"This is broad and incisive, delivering black currant, plum, leather, earth and wild herb flavors. Dense and beefy, yet with ample fruit for balance, driven by vibrant acidity. This is starting to mellow but still has years of life ahead. Drink now through 2036. 15,000 cases made, 3,000 cases imported. —BS",,,,
27,Renato Ratti Barolo Marcenasco-,2015,95,$65 ,
,"A deep well of macerated cherry, plum, freshly cut grass, white pepper and tar flavors highlights this dense, muscular red. Quickly goes from enticing to closed down as the beefy tannins ply the finish. All the components are there. Best from 2022 through 2043. 3,500 cases imported. —BS",,,,
28,Leeuwin Chardonnay Margaret River Art Series-,2016,96,$89 ,
,"Refined and elegant, this white is supple, yet intense and precise, with lemon curd, apricot, honeycomb and mandarin orange flavors, accented by floral and mineral details. The secret weapon here is the sleek acidity, which weaves in and out, giving the flavors definition and verve. Drink now through 2034. 800 cases imported. —MW",,,,
29,Petra Toscana Zingari-,2017,93,$15 ,
