,Wine,Description,Vintage,Price,Score,Model Rating
0,Château Léoville Barton St.-Julien-,"This is so vivid as it brims with pastis-soaked plum, blackberry, black currant and blueberry paste flavors, all carried by a perfectly integrated brambly spine. Tar and ganache notes give the finish an extra kick while everything stays within the mouthwatering roasted apple wood frame. Both regal and rambunctious, this is St.-Julien to a T. Best from 2025 through 2040. 11,667 cases made. —JM",2016,$98 ,97.0,3
1,Mayacamas Cabernet Sauvignon Mount Veeder-,"Youthfully compact, with tightly wound black currant, bitter plum and dark blueberry notes, this needs time to meld with the charcoal, bay leaf and tar streaks, but the mouthwatering cut on the finish suggests that won't be a problem. Offers a long echo of juniper at the end. Best from 2023 through 2040. 2,250 cases made. —JM",2015,$125 ,96.0,3
2,San Giusto a Rentennano Chianti Classico-,"This red offers a pure core of black currant, blackberry and violet flavors shaded by earth and mint notes. The tannins are uplifting and refined. This has terrific energy and balance, with a long, expansive aftertaste of fruit, earth and mineral. Should have a long life ahead. Sangiovese and Canaiolo. Best from 2021 through 2043. 7,500 cases made, 750 cases imported. —BS",2016,$36 ,95.0,3
3,Groth Cabernet Sauvignon Oakville Reserve-,"This delivers a very tightly focused, almost piercing beam of cassis, raspberry coulis and bitter cherry fruit, scored with singed alder and iron notes. Incense and tobacco details chime in on the finish. Long and refined, with the fruit leaving a sweet and mouthwatering echo. Best from 2022 through 2038. 4,800 cases made. —JM",2016,$150 ,96.0,3
4,Roederer Estate Brut Anderson Valley L'Ermitage-,"Extravagant, yet balanced and refined, with lush, crisp brioche, fresh ginger and spice, roasted hazelnut and Asian pear flavors that fan out on the lengthy finish. Drink now through 2020. 4,217 cases made. —TF",2012,$48 ,95.0,3
5,Château de Beaucastel Châteauneuf-du-Pape-,"Youthfully reticent, but warm and polished in feel, with a large core of cassis, raspberry and cherry puree notes lying in wait for now. Threads of red licorice, warm stone and singed mesquite and cedar emerge steadily through the lengthy finish as the fruit unwinds slowly. Concentrated yet precise. Sock this away in the cellar. Grenache, Cinsault, Syrah, Mourvèdre and Counoise. Best from 2023 through 2040. 6,250 cases made, 3,500 cases imported. —JM",2016,$107 ,97.0,3
6,Ramey Chardonnay Napa Valley Carneros Hyde Vineyard-,"Precise and powerfully structured, with intense Asian pear, apple and ripe citrus flavors that feature rich, savory notes. Displays concentrated minerality on the spicy and textured finish. Should blossom in the cellar. Best from 2021 through 2025. 1,256 cases made. —KM",2016,$65 ,95.0,3
7,Château Pichon Baron Pauillac-,"This gushes with dark fig and black currant compote flavors backed by lively sweet tobacco and singed alder edges. Very fleshy in feel, though there's ample grip to keep this red grounded, echoing with tar and humus accents through the finish. A thumper. Best from 2025 through 2040. 13,500 cases made. —JM",2016,$176 ,96.0,3
8,Penfolds Shiraz Barossa Valley RWT Bin 798-,"Offers a lush, juicy mix of blackberry, blueberry and black cherry flavors that appears seamless, integrating with notes of amaretto, clove and lavender. Plush, juicy and very generous on the long, expressive finish. Drink now through 2034. 1,156 cases imported. —MW",2017,$150 ,96.0,3
9,Viña Almaviva Puente Alto-,"Elegant, powerful and well-structured, with a refined mix of dark fruit, dried red fruit and spice flavors. Dried herbal notes emerge midpalate, with a minerally finish that is long and rich-tasting. Cabernet Sauvignon, Carmenère, Cabernet Franc and Petit Verdot. Drink now through 2025. 15,000 cases made, 3,000 cases imported. —KM",2016,$130 ,95.0,3
10,Moccagatta Barbaresco Bric Balin-,"Offers an intense display of cherry, kirsch, rose, sandalwood and spice aromas and flavors. The kaleidoscope of flavors is matched to a firm, racy structure. It all comes together on the never-ending, mineral-tinged aftertaste. Best from 2023 through 2043. 1,100 cases made, 500 cases imported. —BS",2015,$62 ,97.0,3
11,Carlisle Zinfandel Russian River Valley Papera Ranch-,"A stunning wine, jammed with fruit and personality yet retains a sense of refinement. Aromas of blackberry and violet open to complex cherry and licorice notes and a hint of garrigue. Tannins are broad but polished. Drink now through 2027. 1,005 cases made. —TF",2016,$47 ,96.0,3
12,Bodegas Artevino Rioja Orben-,"This big red has a muscular structure, but the flavors are finely detailed, with black cherry, leafy, licorice and smoke notes mingling over sturdy tannins. Harmonious, showing depth and elegance. Best from 2020 through 2030. 2,486 cases made, 500 cases imported. —TM",2016,$32 ,95.0,3
13,Tensley Syrah Santa Barbara County Colson Canyon Vineyard-,"Deeply structured yet rich and polished, with smoked meat, huckleberry and garrigue notes that jaunt toward big but refined tannins on the finish. Drink now through 2028. 1,950 cases made. —TF",2017,$42 ,95.0,3
14,Domaine Huet Vouvray Demi-Sec Le Mont-,"This elegant white shows pedigree, featuring wonderful harmony and great complexity, with persimmon and quince flavors, while cardamom, coriander and star anise notes glide along the edges. The acidity gives this power, providing balance, but also incredible energy that runs throughout. Very long and inviting. Best from 2020 through 2038. 1,000 cases made. —AZ",2018,$45 ,95.0,3
15,Château Branaire-Ducru St.-Julien-,"The core of this red is loaded with pure plum, blueberry and black currant fruit flavors. The polished structure is integrated, with alluring ganache, anise and sweet tobacco notes throughout, all in a polished and balanced frame. A very classy red that isn't shy about its power but pushes its purity to the fore. Best from 2024 through 2039. 15,000 cases made. —JM",2016,$65 ,96.0,3
16,Castellare di Castellina Chianti Classico-,"A beam of pure cherry and blackberry fruit defines this intense, racy red, which is firm and tensile, with fine balance and a lingering aftertaste of vibrant fruit, graphite and tobacco flavors. Sangioveto and Canaiolo. Drink now through 2033. 10,000 cases made, 5,000 cases imported. —BS",2017,$22 ,94.0,3
17,Denner Dirt Worshipper Central Coast-,"Offers an impressive combination of bold, concentrated fruit with a polished, refined structure, delivering black plum, licorice and smoky pepper flavors, accented by crushed stone and fresh earth details. The tannins are broad but harmonious. Syrah, Roussanne and Viognier. Drink now through 2027. 1,123 cases made. —TF",2016,$75 ,96.0,3
18,Tenuta Bibbiano Chianti Classico Riserva-,"A deep well of cherry, plum, floral, wild thyme and iron aromas and flavors highlight this complex, vibrant red, which is beautifully balanced and taut, with firm, well-integrated tannins and lively acidity that will allow this to age gracefully. Best from 2021 through 2045. 2,500 cases made, 750 cases imported. —BS",2015,$30 ,96.0,3
19,Sans Liege The Offering Santa Barbara County-,"Distinctive, refined and well-built, offering expressive black cherry, cigar box, green olive and cured meat accents that build richness on the long finish. Grenache, Syrah, Mourvèdre and Viognier. Drink now through 2026. 2,450 cases made. —TF",2016,$29 ,94.0,3
20,E. Guigal Côte-Rôtie Brune et Blonde-,"Dark and winey, this is youthfully tight, with a core of intense black cherry and black currant preserves, encased within layers of olive, singed alder, juniper and iron. Very focused and driven through the finish. Cellar for maximum effect. Best from 2022 through 2038. Tasted twice, with consistent notes. 23,333 cases made, 700 cases imported. —JM",2015,$75 ,96.0,3
